feature,importance
esg_score,0.13057614615673904
firm_size_log,0.11406826647618082
employees,0.11269623153820782
revenue_growth,0.1118857302574378
media_mentions,0.11177745660612462
board_independence,0.11086333234941427
debt_ratio,0.10285456056750675
supply_chain_length,0.06923598795410393
prior_controversies,0.060760461366273985
sector_Energy,0.01617217581919547
sector_Mining,0.013682738170960749
sector_Pharma,0.009554565371420893
sector_Tech,0.009179301444355916
sector_Finance,0.00906357862085666
sector_Industrial,0.008989461034902366
sector_Utilities,0.008640006266318946
